股票代號,股票名稱,股數,持股權重,收盤價
2330,台積電,1401000,9.32,
2383,台光電,846000,5.99,
2308,台達電,1528000,5.93,
3017,奇鋐,980000,5.69,
3665,貿聯-KY,1021848,5.41,
2345,智邦,949000,5.27,
3661,世芯-KY,231000,5.2,
2368,金像電,1858000,4.82,
2454,聯發科,580000,4.6,
4958,臻鼎-KY,3818000,4.16,
3653,健策,352000,3.92,
2317,鴻海,2784000,3.29,
8046,南電,2922000,3.09,
8210,勤誠,762000,2.59,
2884,玉山金,13477010,2.57,
2357,華碩,696000,2.51,
6274,台燿,1359000,2.32,
6805,富世達,336000,2.18,
6223,旺矽,249000,1.81,
2059,川湖,100000,1.69,
3583,辛耘,723000,1.54,
3533,嘉澤,159000,1.31,
6139,亞翔,648000,1.3,
3131,弘塑,142000,1.16,
1560,中砂,593000,1.12,
2449,京元電子,1379000,1.09,
2481,強茂,2175000,0.8,
4966,譜瑞-KY,161000,0.73,
3231,緯創,998000,0.64,
3443,創意,74000,0.58,
4770,上品,360000,0.57,
3376,新日興,400000,0.54,
8028,昇陽半導體,556000,0.48,
3008,大立光,32000,0.43,
6515,穎崴,67000,0.43,
6143,振曜,619000,0.41,
6472,保瑞,76000,0.32,
1210,大成,754000,0.23,
2886,兆豐金,818000,0.19,
3217,優群,191000,0.19,
5347,世界,232000,0.12,
2618,長榮航,430000,0.09,
6757,台灣虎航,172000,0.08,
3045,台灣大,43000,0.03,
6669,緯穎,1000,0.02,
2439,美律,1000,0.0,
2891,中信金,1000,0.0,
3605,宏致,1000,0.0,
6278,台表科,1000,0.0,
8996,高力,1000,0.0,
