股票代號,股票名稱,股數,持股權重,收盤價,source_snapshot_date
2330,台積電,1401000,8.68,,2025-08-29
3665,貿聯-KY,1076848,6.18,,2025-08-29
2308,台達電,1528000,5.8,,2025-08-29
2383,台光電,846000,5.51,,2025-08-29
2345,智邦,983000,5.33,,2025-08-29
3017,奇鋐,980000,5.29,,2025-08-29
2368,金像電,1858000,5.01,,2025-08-29
3661,世芯-KY,231000,5.0,,2025-08-29
2454,聯發科,580000,4.24,,2025-08-29
4958,臻鼎-KY,3998000,4.19,,2025-08-29
3653,健策,352000,3.94,,2025-08-29
8046,南電,3199000,3.76,,2025-08-29
2449,京元電子,3481000,2.9,,2025-08-29
6274,台燿,1458000,2.86,,2025-08-29
8210,勤誠,762000,2.48,,2025-08-29
6223,旺矽,333000,2.47,,2025-08-29
2884,玉山金,13477010,2.41,,2025-08-29
2357,華碩,696000,2.35,,2025-08-29
6805,富世達,336000,2.05,,2025-08-29
3583,辛耘,808000,1.68,,2025-08-29
3131,弘塑,186000,1.5,,2025-08-29
8028,昇陽半導體,1499000,1.29,,2025-08-29
3533,嘉澤,159000,1.24,,2025-08-29
6139,亞翔,648000,1.22,,2025-08-29
3376,新日興,800000,1.13,,2025-08-29
1560,中砂,593000,1.11,,2025-08-29
6669,緯穎,48000,0.76,,2025-08-29
2481,強茂,2175000,0.75,,2025-08-29
4966,譜瑞-KY,161000,0.67,,2025-08-29
3231,緯創,998000,0.6,,2025-08-29
4770,上品,360000,0.55,,2025-08-29
3443,創意,74000,0.53,,2025-08-29
3008,大立光,32000,0.41,,2025-08-29
2059,川湖,24000,0.39,,2025-08-29
6143,振曜,604000,0.39,,2025-08-29
6472,保瑞,76000,0.3,,2025-08-29
1210,大成,754000,0.21,,2025-08-29
2886,兆豐金,818000,0.17,,2025-08-29
3217,優群,171000,0.16,,2025-08-29
5347,世界,232000,0.11,,2025-08-29
2618,長榮航,430000,0.09,,2025-08-29
6757,台灣虎航,142000,0.06,,2025-08-29
3045,台灣大,43000,0.02,,2025-08-29
6515,穎崴,1000,0.01,,2025-08-29
2317,鴻海,1000,0.0,,2025-08-29
2439,美律,1000,0.0,,2025-08-29
2891,中信金,1000,0.0,,2025-08-29
3605,宏致,1000,0.0,,2025-08-29
6278,台表科,1000,0.0,,2025-08-29
8996,高力,1000,0.0,,2025-08-29
