股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,4519000,0.53,
1319,東陽,1574000,0.31,
2059,川湖,232000,1.74,
2308,台達電,2532000,4.93,
2313,華通,4685000,0.94,
2317,鴻海,7423000,3.41,
2327,國巨*,1000,0.0,
2330,台積電,3146000,9.68,
2345,智邦,2357000,5.83,
2354,鴻準,3209000,0.4,
2357,華碩,1000,0.0,
2368,金像電,4237000,6.02,
2383,台光電,2037000,6.81,
2404,漢唐,786000,1.51,
2439,美律,1000,0.0,
2449,京元電子,4024000,1.83,
2454,聯發科,1168000,3.3,
2884,玉山金,1010,0.0,
3008,大立光,1000,0.0,
3017,奇鋐,2136000,6.61,
3044,健鼎,143000,0.09,
3045,台灣大,1000,0.0,
3081,聯亞,1000,0.0,
3211,順達,555000,0.37,
3217,優群,306000,0.1,
3231,緯創,1550000,0.46,
3515,華擎,854000,0.44,
3533,嘉澤,252000,0.66,
3583,辛耘,1000,0.0,
3653,健策,677000,3.78,
3661,世芯-KY,333000,2.18,
3665,貿聯-KY,1532848,4.83,
3711,日月光投控,318000,0.16,
3715,定穎投控,2198960,0.55,
4958,臻鼎-KY,1738000,0.51,
5274,信驊,134000,1.89,
5347,世界,1368000,0.27,
5536,聖暉*,512000,0.83,
6139,亞翔,1000,0.0,
6191,精成科,3088000,0.73,
6223,旺矽,1077000,5.18,
6274,台燿,4737000,4.81,
6510,精測,2000,0.01,
6515,穎崴,48000,0.28,
6669,緯穎,683000,5.98,
6805,富世達,939000,3.07,
8210,勤誠,1453000,2.88,
8299,群聯,965000,2.58,
8358,金居,1668000,0.91,
8996,高力,1000,0.0,
