股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,7149000,1.01,
1319,東陽,2563000,0.55,
1605,華新,4454000,0.36,
1802,台玻,2065000,0.16,
1815,富喬,2638000,0.5,
2059,川湖,147000,0.96,
2308,台達電,2679000,5.75,
2313,華通,5013000,1.36,
2317,鴻海,2937000,1.31,
2327,國巨*,4804000,2.59,
2330,台積電,3065000,10.17,
2337,旺宏,8886000,1.14,
2345,智邦,2526000,5.92,
2357,華碩,2000,0.0,
2368,金像電,3885000,5.02,
2383,台光電,1499000,4.65,
2439,美律,2000,0.0,
2454,聯發科,733000,2.1,
2884,玉山金,2010,0.0,
3008,大立光,3000,0.01,
3017,奇鋐,2290000,5.94,
3037,欣興,822000,0.43,
3045,台灣大,2000,0.0,
3211,順達,570000,0.31,
3217,優群,326000,0.1,
3376,新日興,454000,0.19,
3533,嘉澤,376000,0.98,
3653,健策,767000,3.52,
3661,世芯-KY,458000,2.92,
3665,貿聯-KY,1483848,3.96,
4958,臻鼎-KY,1000,0.0,
5269,祥碩,262000,0.65,
5274,信驊,142000,2.36,
5536,聖暉*,17000,0.03,
6139,亞翔,668000,0.74,
6191,精成科,3238000,0.73,
6223,旺矽,962000,4.22,
6274,台燿,5074000,4.76,
6488,環球晶,321000,0.29,
6510,精測,2000,0.01,
6515,穎崴,135000,0.91,
6669,緯穎,722000,5.27,
6805,富世達,1016000,2.56,
8046,南電,1032000,0.57,
8210,勤誠,1513000,2.68,
8299,群聯,1358000,4.89,
8358,金居,2026000,1.05,
8996,高力,1000,0.0,
