股票代號,股票名稱,股數,持股權重
2059,川湖,358000,3.4747
2308,台達電,357000,1.4794
2327,國巨*,200000,0.1819
2330,台積電,1761000,7.9658
2337,旺宏,1271000,0.4124
2344,華邦電,893000,0.2309
2345,智邦,916000,4.5825
2360,致茂,207000,0.926
2368,金像電,669000,1.7235
2383,台光電,536000,4.9401
2408,南亞科,3280000,2.0404
2454,聯發科,180000,1.1719
2455,全新,1927000,1.3796
3017,奇鋐,501000,2.4563
3036,文曄,1177000,0.6346
3037,欣興,2302000,3.7744
3081,聯亞,380000,2.0148
3105,穩懋,3433000,3.1435
3163,波若威,923000,1.7511
3189,景碩,486013,0.4717
3260,威剛,393000,0.3335
3324,雙鴻,151000,0.3
3443,創意,360000,3.4833
3491,昇達科,97000,0.3273
3533,嘉澤,420000,1.9543
3583,辛耘,33000,0.0585
3653,健策,197000,1.3632
3661,世芯-KY,393000,3.6143
3665,貿聯-KY,667000,2.7906
3711,日月光投控,320000,0.3495
4991,環宇-KY,692000,0.8872
5274,信驊,45000,1.5453
5289,宜鼎,142000,0.4991
6223,旺矽,289000,3.4023
6274,台燿,636000,1.6575
6442,光聖,238000,0.827
6510,精測,422000,3.1477
6515,穎崴,151000,2.9492
6531,愛普*,703000,1.5162
6584,南俊國際,1337000,1.7569
6669,緯穎,465000,4.75
7751,竑騰,387000,1.2559
7769,鴻勁,194000,2.6714
8046,南電,1658000,2.6026
8299,群聯,711000,3.7628
8996,高力,1689000,3.508
