股票代號,股票名稱,股數,成本市值
1519,華城,0,0.0
2059,川湖,673000,2550217706.766917
2308,台達電,1523000,2988383004.8748965
2317,鴻海,0,0.0
2330,台積電,5329000,10974209420.035149
2344,華邦電,2327000,211815422.42817423
2345,智邦,1874000,3563366459.7046785
2360,致茂,1198000,1992263000.0
2368,金像電,2257000,2986005000.0
2382,廣達,0,0.0
2383,台光電,1553000,6030316455.026455
2408,南亞科,8569000,1964143273.666755
2451,創見,0,0.0
3017,奇鋐,1722000,4330258565.5737705
3037,欣興,10134000,7051485500.0
3131,弘塑,698000,2179275000.0
3163,波若威,2453000,2306045662.440571
3189,景碩,772013,269685183.3487232
3231,緯創,0,0.0
3260,威剛,1144000,475898000.0
3324,雙鴻,470000,524987000.0
3529,力旺,453000,1740048954.6282034
3653,健策,713000,3561310000.0
3665,貿聯-KY,4984000,12820930000.0
5289,宜鼎,356000,371636425.018615
5439,高技,0,0.0
5536,聖暉*,0,0.0
6223,旺矽,857000,3682139327.48538
6274,台燿,3545000,3355818000.0
6442,光聖,4455000,8993950000.0
6515,穎崴,398000,3315529333.4694295
6531,愛普*,3414000,2439159500.0
6584,南俊國際,5685000,4008932986.3013697
6669,緯穎,2267000,10220145000.0
6781,AES-KY,0,0.0
6805,富世達,790000,1524254130.4347825
7769,鴻勁,516000,2335555454.5454545
8046,南電,2670000,1965635000.0
8210,勤誠,0,0.0
8299,群聯,2796000,4891743483.965014
8996,高力,7923000,8855962245.90164
2449,京元電子,0,0.0
3443,創意,1487000,5743880000.0
3661,世芯-KY,773000,3098114605.654762
5274,信驊,148000,2133545000.0
4749,新應材,1794000,1726929000.0
8358,金居,0,0.0
8021,尖點,1276000,409628240.0
2327,國巨*,0,0.0
5347,世界,0,0.0
6415,矽力*-KY,0,2.9802322387695312e-08
2486,一詮,0,0.0
2454,聯發科,600000,1501000000.0
3533,嘉澤,1244000,2949530000.0
7751,竑騰,1024000,2123090000.0
3105,穩懋,14945000,7806051500.0
4991,環宇-KY,1801000,1037690000.0
6510,精測,1975000,7351870000.0
2337,旺宏,3566000,518972000.0
3036,文曄,2600000,560084000.0
3081,聯亞,1108000,2788100000.0
3491,昇達科,260000,423825000.0
3711,日月光投控,845000,375098500.0
6271,同欣電,21419000,3848688000.0
2455,全新,427000,134932000.0
