日期,股票代號,股票名稱,賣出股數,平均單位成本,賣出價格,總投資成本,實現損益,報酬率
2026-01-12,3231,緯創,589000,148.0549,146.0,87204335.3,-1210335.3,-0.0139
2026-01-14,6274,台燿,592000,483.8892,485.0,286462386.67,657613.33,0.0023
2026-01-16,2382,廣達,213000,264.2727,289.5,56290090.91,5373409.09,0.0955
2026-01-23,2368,金像電,232000,687.0185,646.0,159388280.44,-9516280.44,-0.0597
2026-01-23,6669,緯穎,61000,4411.6667,3695.0,269111666.67,-43716666.67,-0.1624
2026-02-04,3131,弘塑,141000,1564.8576,1615.0,220644928.06,7070071.94,0.032
2026-02-04,5536,聖暉*,7000,777.6917,638.0,5443841.9,-977841.9,-0.1796
2026-02-05,2451,創見,463000,197.5859,219.0,91482263.16,9914736.84,0.1084
2026-02-06,2327,國巨*,595000,259.3521,248.5,154314522.22,-6457022.22,-0.0418
2026-02-09,6415,矽力*-KY,822000,264.2167,265.5,217186100.0,1054900.0,0.0049
2026-02-23,3260,威剛,819000,265.8212,300.5,217707588.38,28401911.62,0.1305
2026-02-24,3231,緯創,827000,134.5,131.0,111231500.0,-2894500.0,-0.026
2026-03-11,2454,聯發科,151000,1803.5099,1765.0,272330000.0,-5815000.0,-0.0214
2026-03-13,3443,創意,23000,2185.0,2285.0,50255000.0,2300000.0,0.0458
2026-03-16,3324,雙鴻,226000,988.1204,1035.0,223315217.39,10594782.61,0.0474
2026-03-16,6274,台燿,238000,488.5546,503.0,116276000.0,3438000.0,0.0296
2026-03-23,3665,貿聯-KY,129000,1466.0736,1770.0,189123490.17,39206509.83,0.2073
2026-04-01,1519,華城,211000,777.6797,812.0,164090408.16,7241591.84,0.0441
2026-04-07,2317,鴻海,349000,226.599,192.0,79083066.56,-12075066.56,-0.1527
2026-04-07,5439,高技,205000,301.6314,278.5,61834439.02,-4741939.02,-0.0767
2026-04-07,8210,勤誠,173000,990.3734,830.0,171334593.41,-27744593.41,-0.1619
