股票代號,股票名稱,股數,持股權重,收盤價
2330,台積電,556000,7.9256,1900.0
2345,智邦,488000,5.2671,1400.0
2308,台達電,504000,4.727,1305.0
8299,群聯,327000,4.5152,1925.0
3017,奇鋐,331000,3.9545,1520.0
3665,貿聯-KY,387000,3.9321,1290.0
6515,穎崴,101000,3.7628,4695.0
2383,台光電,224000,3.6599,2175.0
8996,高力,539000,3.635,879.0
6223,旺矽,175000,3.6344,2805.0
2059,川湖,134000,3.0223,3030.0
7769,鴻勁,92000,2.9755,4400.0
2408,南亞科,1394000,2.8846,289.0
3163,波若威,612000,2.6832,647.0
2360,致茂,313000,2.4463,1155.0
3037,欣興,858000,2.3566,405.5
2449,京元電子,932000,2.1749,316.5
2454,聯發科,151000,2.085,1795.0
3533,嘉澤,164000,2.0081,1625.0
5347,世界,2101000,1.9705,125.0
5274,信驊,26000,1.8821,9755.0
6442,光聖,124000,1.7998,2035.0
3324,雙鴻,226000,1.7916,1015.0
6781,AES-KY,191000,1.6136,1200.0
3661,世芯-KY,64000,1.6102,3330.0
4749,新應材,240000,1.4827,878.0
1519,華城,204000,1.4684,966.0
8358,金居,713000,1.4329,273.5
6669,緯穎,50000,1.3919,3820.0
2486,一詮,1150000,1.3011,157.5
8210,勤誠,165000,1.1975,890.0
3529,力旺,71000,1.049,2180.0
6274,台燿,238000,0.9424,539.0
5289,宜鼎,157000,0.8484,758.0
3231,緯創,827000,0.8095,129.5
8021,尖點,509920,0.7705,223.0
6531,愛普*,245000,0.7221,402.5
6805,富世達,55000,0.6325,1480.0
2317,鴻海,325000,0.5491,228.5
8046,南電,160000,0.4954,457.5
6584,南俊國際,136000,0.4504,435.0
3443,創意,23000,0.4237,2370.0
3189,景碩,213000,0.4209,292.0
2368,金像電,60000,0.3702,818.0
3653,健策,14000,0.334,3080.0
2344,華邦電,379000,0.2976,115.0
5439,高技,126000,0.2916,296.0
