股票代號,股票名稱,股數,持股權重
1519,華城,207000,1.0135
2059,川湖,142000,2.6562
2308,台達電,275000,2.1333
2317,鴻海,342000,0.3687
2330,台積電,607000,6.0446
2344,華邦電,513000,0.3034
2345,智邦,539000,4.6409
2360,致茂,362000,3.0273
2368,金像電,222000,1.1749
2383,台光電,316000,4.8592
2408,南亞科,2382000,2.9224
2449,京元電子,552000,0.8685
2486,一詮,1204000,0.9472
3017,奇鋐,362000,3.9733
3037,欣興,1250000,3.4317
3105,穩懋,904000,1.5666
3163,波若威,662000,2.9902
3189,景碩,476013,0.9061
3324,雙鴻,54000,0.2985
3443,創意,65000,0.9262
3529,力旺,66000,0.9441
3533,嘉澤,336000,3.6694
3653,健策,88000,1.864
3661,世芯-KY,58000,1.0179
4749,新應材,252000,1.1909
5274,信驊,28000,1.7661
5289,宜鼎,170000,1.0148
5347,世界,2230000,1.3863
5439,高技,201000,0.3151
6223,旺矽,192000,3.9243
6274,台燿,225000,0.6659
6442,光聖,244000,2.4835
6515,穎崴,109000,4.7286
6531,愛普*,359000,1.033
6584,南俊國際,279000,0.7874
6669,緯穎,65000,1.3035
6781,AES-KY,194000,1.126
6805,富世達,119000,1.221
7751,竑騰,279000,2.3869
7769,鴻勁,139000,3.0207
8021,尖點,557920,0.732
8046,南電,840000,2.4678
8210,勤誠,169000,0.8303
8299,群聯,396000,3.9216
8358,金居,748000,0.9156
8996,高力,655000,2.955
