股票代號,收盤價
2059,4450.0
2308,1915.0
2327,497.0
2330,2205.0
2337,144.0
2344,117.5
2345,2390.0
2360,2055.0
2368,1285.0
2383,4535.0
2408,274.5
2449,289.0
2454,3155.0
2455,383.0
2486,251.5
3017,2390.0
3036,265.0
3037,818.0
3081,2490.0
3105,456.5
3131,2580.0
3163,900.0
3189,513.0
3260,390.0
3324,966.0
3443,4465.0
3491,1765.0
3529,3310.0
3533,2325.0
3583,842.0
3653,3090.0
3661,4430.0
3665,1990.0
3711,472.0
4749,985.0
4991,667.0
5274,15925.0
5289,1730.0
5347,157.5
6223,5730.0
6274,1225.0
6442,1740.0
6510,3460.0
6515,9490.0
6531,1025.0
6584,657.0
6669,4890.0
6781,1125.0
6805,1770.0
7751,1610.0
7769,6600.0
8021,392.0
8046,798.0
8299,2465.0
8358,429.0
8996,1040.0
