股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出
1210,1000.0,0.0,1000.0,0.0,大成,0,0.0,False,False
2059,114000.0,1.78,114000.0,1.81,川湖,0,-0.03,False,False
2308,1191000.0,4.64,1191000.0,4.64,台達電,0,0.0,False,False
2317,987000.0,0.98,987000.0,0.99,鴻海,0,-0.01,False,False
2330,1688000.0,10.01,1688000.0,9.88,台積電,0,0.13,False,False
2344,3280000.0,0.42,0.0,0.0,華邦電,3280000,0.42,True,False
2345,1229000.0,6.09,1229000.0,6.13,智邦,0,-0.04,False,False
2354,3245000.0,1.05,3245000.0,1.07,鴻準,0,-0.02,False,False
2357,1030000.0,3.27,1030000.0,3.32,華碩,0,-0.05,False,False
2368,1650000.0,3.51,1650000.0,3.61,金像電,0,-0.1,False,False
2383,913000.0,5.43,926000.0,5.68,台光電,-13000,-0.25,False,False
2439,1000.0,0.0,1000.0,0.0,美律,0,0.0,False,False
2449,5977000.0,4.59,5977000.0,4.64,京元電子,0,-0.05,False,False
2454,403000.0,2.86,403000.0,2.79,聯發科,0,0.07,False,False
2618,1000.0,0.0,430000.0,0.08,長榮航,-429000,-0.08,False,False
2884,8090010.0,1.25,8090010.0,1.27,玉山金,0,-0.02,False,False
2886,818000.0,0.16,818000.0,0.16,兆豐金,0,0.0,False,False
3008,2000.0,0.02,2000.0,0.02,大立光,0,0.0,False,False
3017,1063000.0,5.12,1063000.0,5.18,奇鋐,0,-0.06,False,False
3045,43000.0,0.02,43000.0,0.02,台灣大,0,0.0,False,False
3131,206000.0,1.31,206000.0,1.33,弘塑,0,-0.02,False,False
3211,1000.0,0.0,1000.0,0.0,順達,0,0.0,False,False
3217,1000.0,0.0,1000.0,0.0,優群,0,0.0,False,False
3231,2391000.0,1.31,2391000.0,1.33,緯創,0,-0.02,False,False
3264,1686000.0,0.67,1686000.0,0.67,欣銓,0,0.0,False,False
3376,800000.0,0.83,800000.0,0.83,新日興,0,0.0,False,False
3406,324000.0,0.64,324000.0,0.63,玉晶光,0,0.01,False,False
3515,332000.0,0.44,332000.0,0.45,華擎,0,-0.01,False,False
3529,91000.0,0.9,91000.0,0.91,力旺,0,-0.01,False,False
3533,238000.0,1.78,238000.0,1.71,嘉澤,0,0.07,False,False
3583,888000.0,1.46,888000.0,1.48,辛耘,0,-0.02,False,False
3653,388000.0,4.26,388000.0,4.17,健策,0,0.09,False,False
3661,202000.0,3.44,202000.0,3.51,世芯-KY,0,-0.07,False,False
3665,1249848.0,6.45,1249848.0,6.38,貿聯-KY,0,0.07,False,False
3711,852000.0,0.67,852000.0,0.66,日月光投控,0,0.01,False,False
4770,345000.0,0.49,406000.0,0.58,上品,-61000,-0.09,False,False
4958,3389000.0,2.71,3389000.0,2.62,臻鼎-KY,0,0.09,False,False
4966,308000.0,1.17,308000.0,1.13,譜瑞-KY,0,0.04,False,False
5347,663000.0,0.28,663000.0,0.28,世界,0,0.0,False,False
6139,1000.0,0.0,1000.0,0.0,亞翔,0,0.0,False,False
6223,527000.0,3.65,527000.0,3.5,旺矽,0,0.15,False,False
6274,1911000.0,2.63,1911000.0,2.66,台燿,0,-0.03,False,False
6278,1000.0,0.0,1000.0,0.0,台表科,0,0.0,False,False
6472,304000.0,1.0,304000.0,1.0,保瑞,0,0.0,False,False
6515,1000.0,0.01,1000.0,0.01,穎崴,0,0.0,False,False
6669,282000.0,4.18,282000.0,4.23,緯穎,0,-0.05,False,False
6757,0.0,0.0,1000.0,0.0,台灣虎航,-1000,0.0,False,True
6805,414000.0,1.91,414000.0,1.94,富世達,0,-0.03,False,False
8046,1832000.0,1.67,1832000.0,1.53,南電,0,0.14,False,False
8210,822000.0,2.31,822000.0,2.32,勤誠,0,-0.01,False,False
8996,176000.0,0.27,176000.0,0.28,高力,0,-0.01,False,False
