股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1303,5445000,2.4411,5445000,2.3897,南亞,0,0.05,False,False,189.0,190.0
1815,10877000,2.2765,10877000,2.2991,富喬,0,-0.02,False,False,90.0,88.7
2059,293000,8.514,293000,8.2752,川湖,0,0.24,False,False,12045.0,12315.0
2308,632000,2.6917,300000,1.2917,台達電,332000,1.4,False,False,1790.0,1805.0
2330,1406000,7.9455,1406000,7.9386,台積電,0,0.01,False,False,2415.0,2395.0
2337,1343000,0.4198,1343000,0.4253,旺宏,0,-0.01,False,False,136.5,132.5
2345,1080000,5.4407,1080000,5.5471,智邦,0,-0.11,False,False,2215.0,2135.0
2383,466000,6.0861,466000,5.8482,台光電,0,0.24,False,False,5730.0,5535.0
2454,406000,3.8511,406000,3.8142,聯發科,0,0.04,False,False,4015.0,4020.0
2455,2753000,2.3872,2753000,2.5112,全新,0,-0.12,False,False,384.5,367.5
3008,420000,4.3159,420000,4.3841,大立光,0,-0.07,False,False,4585.0,4355.0
3017,1002000,6.5254,1002000,6.5727,奇鋐,0,-0.05,False,False,2910.0,2760.0
3037,2497000,5.8447,2497000,5.8764,欣興,0,-0.03,False,False,1000.0,992.0
3189,840013,1.6689,840013,1.666,景碩,0,0.0,False,False,858.0,842.0
3231,7662000,3.4531,7662000,3.5082,緯創,0,-0.06,False,False,193.5,191.0
3260,358000,0.3425,358000,0.349,威剛,0,-0.01,False,False,409.5,405.5
3264,72000,0.0372,72000,0.038,欣銓,0,-0.0,False,False,216.5,219.5
3443,160000,1.8706,160000,1.7195,創意,0,0.15,False,False,5130.0,4955.0
3583,147000,0.2434,147000,0.2427,辛耘,0,0.0,False,False,734.0,702.0
3661,215000,2.0064,215000,1.9382,世芯-KY,0,0.07,False,False,4055.0,3955.0
3665,1161000,6.0268,1161000,6.032,貿聯-KY,0,-0.01,False,False,2155.0,2200.0
3711,1629000,2.4177,1629000,2.4347,日月光投控,0,-0.02,False,False,621.0,629.0
4958,1000000,1.1561,1000000,1.1162,臻鼎-KY,0,0.04,False,False,471.5,490.0
5289,98000,0.3399,98000,0.3406,宜鼎,0,-0.0,False,False,1520.0,1470.0
5347,629000,0.2345,629000,0.235,世界,0,-0.0,False,False,159.5,158.0
6139,250000,0.4789,250000,0.4792,亞翔,0,-0.0,False,False,811.0,812.0
6187,801000,1.9845,801000,2.0713,萬潤,0,-0.09,False,False,1155.0,1050.0
6223,263000,3.9189,263000,3.884,旺矽,0,0.03,False,False,6600.0,6315.0
6515,42000,0.6857,42000,0.6805,穎崴,0,0.01,False,False,7170.0,6920.0
6584,2231000,2.8321,2231000,2.7628,南俊國際,0,0.07,False,False,543.0,538.0
6669,77000,1.0774,77000,1.0978,緯穎,0,-0.02,False,False,6025.0,5930.0
6805,109000,0.4603,109000,0.4538,富世達,0,0.01,False,False,1835.0,1790.0
7734,56000,0.4268,56000,0.459,印能科技,0,-0.03,False,False,3350.0,3230.0
7751,257000,0.761,257000,0.8474,竑騰,0,-0.09,False,False,1315.0,1255.0
8021,2682000,2.7781,2682000,2.7646,尖點,0,0.01,False,False,427.0,439.0
8996,1630000,4.0961,1630000,4.157,高力,0,-0.06,False,False,1170.0,1065.0
