股票代號,股票名稱,收盤價,股數_2025-09-01,今日權重%,股數_2025-08-29,昨日權重%,買賣超股數,權重Δ%
2449,京元電子,,5477000,4.35,3481000,2.9,1996000,1.45
2330,台積電,,1601000,9.35,1401000,8.68,200000,0.67
6223,旺矽,,423000,2.95,333000,2.47,90000,0.48
3661,世芯-KY,,279000,5.47,231000,5.0,48000,0.47
2884,玉山金,,14977010,2.53,13477010,2.41,1500000,0.12
3131,弘塑,,206000,1.53,186000,1.5,20000,0.03
3583,辛耘,,888000,1.7,808000,1.68,80000,0.02
6139,亞翔,,648000,1.23,648000,1.22,0,0.01
2439,美律,,1000,0.0,1000,0.0,0,0.0
2886,兆豐金,,818000,0.17,818000,0.17,0,0.0
3045,台灣大,,43000,0.02,43000,0.02,0,0.0
3605,宏致,,1000,0.0,1000,0.0,0,0.0
6278,台表科,,1000,0.0,1000,0.0,0,0.0
2317,鴻海,,1000,0.0,1000,0.0,0,0.0
2891,中信金,,1000,0.0,1000,0.0,0,0.0
8996,高力,,1000,0.0,1000,0.0,0,0.0
6515,穎崴,,1000,0.01,1000,0.01,0,0.0
5347,世界,,232000,0.11,232000,0.11,0,0.0
6757,台灣虎航,,142000,0.06,142000,0.06,0,0.0
2345,智邦,,1124000,5.32,983000,5.33,141000,-0.01
1210,大成,,754000,0.2,754000,0.21,0,-0.01
2618,長榮航,,430000,0.08,430000,0.09,0,-0.01
4770,上品,,360000,0.54,360000,0.55,0,-0.01
3217,優群,,161000,0.14,171000,0.16,-10000,-0.02
6472,保瑞,,76000,0.27,76000,0.3,0,-0.03
2059,川湖,,24000,0.36,24000,0.39,0,-0.03
3008,大立光,,32000,0.37,32000,0.41,0,-0.04
6143,振曜,,556000,0.34,604000,0.39,-48000,-0.05
3231,緯創,,998000,0.55,998000,0.6,0,-0.05
3653,健策,,352000,3.89,352000,3.94,0,-0.05
6805,富世達,,386000,1.99,336000,2.05,50000,-0.06
4966,譜瑞-KY,,161000,0.61,161000,0.67,0,-0.06
2481,強茂,,2175000,0.69,2175000,0.75,0,-0.06
4958,臻鼎-KY,,4298000,4.11,3998000,4.19,300000,-0.08
6669,緯穎,,48000,0.68,48000,0.76,0,-0.08
1560,中砂,,593000,1.02,593000,1.11,0,-0.09
2357,華碩,,726000,2.25,696000,2.35,30000,-0.1
8210,勤誠,,822000,2.38,762000,2.48,60000,-0.1
3533,嘉澤,,159000,1.13,159000,1.24,0,-0.11
8028,昇陽半導體,,1499000,1.15,1499000,1.29,0,-0.14
2383,台光電,,926000,5.36,846000,5.51,80000,-0.15
6274,台燿,,1578000,2.7,1458000,2.86,120000,-0.16
3376,新日興,,800000,0.95,800000,1.13,0,-0.18
8046,南電,,3399000,3.42,3199000,3.76,200000,-0.34
2368,金像電,,2008000,4.59,1858000,5.01,150000,-0.42
3443,創意,,1000,0.01,74000,0.53,-73000,-0.52
3665,貿聯-KY,,1156848,5.66,1076848,6.18,80000,-0.52
2454,聯發科,,523000,3.56,580000,4.24,-57000,-0.68
3017,奇鋐,,869000,4.1,980000,5.29,-111000,-1.19
2308,台達電,,1320000,4.55,1528000,5.8,-208000,-1.25
