股票代號,股票名稱,昨日權重%,今日權重%,Δ%,_merge
1210,大成,0.51,0.45,-0.06,both
1303,南亞,1.87,2.0,0.13,both
1560,中砂,0.0,0.0,0.0,both
2059,川湖,3.57,3.48,-0.09,both
2308,台達電,5.83,5.84,0.01,both
2317,鴻海,4.55,4.41,-0.14,both
2327,國巨,0.01,0.01,0.0,both
2330,台積電,9.12,9.08,-0.04,both
2345,智邦,5.65,5.69,0.04,both
2357,華碩,3.44,3.15,-0.29,both
2368,金像電,3.29,3.56,0.27,both
2382,廣達,1.63,1.41,-0.22,both
2383,台光電,4.72,5.1,0.38,both
2439,美律,0.0,0.0,0.0,both
2454,聯發科,2.49,2.51,0.02,both
2609,陽明,0.34,0.0,-0.34,left_only
2618,長榮航,0.21,0.18,-0.03,both
2884,玉山金,2.69,2.65,-0.04,both
2886,兆豐金,0.07,0.06,-0.01,both
2891,中信金,0.41,0.36,-0.05,both
3008,大立光,0.03,0.03,0.0,both
3017,奇鋐,7.15,7.18,0.03,both
3044,健鼎,2.56,2.44,-0.12,both
3045,台灣大,0.06,0.05,-0.01,both
3217,優群,0.36,0.65,0.29,both
3231,緯創,2.25,1.98,-0.27,both
3515,華擎,0.0,0.0,0.0,both
3533,嘉澤,1.24,1.08,-0.16,both
3605,宏致,0.53,0.52,-0.01,both
3653,健策,3.25,3.4,0.15,both
3661,世芯-KY,5.09,6.0,0.91,both
3665,貿聯-KY,6.55,6.43,-0.12,both
3706,神達,1.54,0.0,-1.54,both
4770,上品,1.23,1.25,0.02,both
4958,臻鼎-KY,1.61,1.98,0.37,both
5274,信驊,1.29,1.17,-0.12,both
5347,世界,0.27,0.24,-0.03,both
6139,亞翔,0.25,0.22,-0.03,both
6143,振曜,0.49,0.43,-0.06,both
6223,旺矽,0.48,0.43,-0.05,both
6274,台燿,0.73,0.64,-0.09,both
6278,台表科,0.0,0.0,0.0,both
6510,精測,1.11,0.99,-0.12,both
6515,穎崴,1.21,1.06,-0.15,both
6669,緯穎,0.04,0.04,0.0,both
6757,台灣虎航,0.2,0.18,-0.02,both
6805,富世達,0.0,0.75,0.75,right_only
8046,南電,2.61,2.62,0.01,both
8069,元太,0.0,0.0,0.0,both
8210,勤誠,3.06,3.19,0.13,both
8996,高力,0.81,0.71,-0.1,both
