股票代號,股票名稱,今日%,昨日%,D1Δ%,T-5日%,D5Δ%
2330,台積電,9.15,9.08,0.07,9.22,-0.07
3017,奇鋐,7.28,7.18,0.1,7.26,0.02
3665,貿聯-KY,6.55,6.43,0.12,6.54,0.01
3661,世芯-KY,6.07,6.0,0.07,4.71,1.36
2308,台達電,5.86,5.84,0.02,5.96,-0.1
2345,智邦,5.77,5.69,0.08,5.48,0.29
2383,台光電,5.11,5.1,0.01,4.7,0.41
2317,鴻海,3.88,4.41,-0.53,4.51,-0.63
2368,金像電,3.45,3.56,-0.11,3.08,0.37
2059,川湖,3.39,3.48,-0.09,3.47,-0.08
3653,健策,3.35,3.4,-0.05,3.23,0.12
8210,勤誠,3.07,3.19,-0.12,2.94,0.13
2454,聯發科,2.86,2.51,0.35,2.5,0.36
2884,玉山金,2.85,2.65,0.2,2.79,0.06
2357,華碩,2.7,3.15,-0.45,3.7,-1.0
4958,臻鼎-KY,2.61,1.98,0.63,1.61,1.0
8046,南電,2.5,2.62,-0.12,2.13,0.37
3044,健鼎,2.43,2.44,-0.01,2.44,-0.01
1303,南亞,1.99,2.0,-0.01,1.77,0.22
2382,廣達,1.18,1.41,-0.23,2.22,-1.04
3231,緯創,1.12,1.98,-0.86,2.11,-0.99
5274,信驊,1.05,1.17,-0.12,1.43,-0.38
4770,上品,0.98,1.25,-0.27,1.2,-0.22
6515,穎崴,0.92,1.06,-0.14,1.33,-0.41
3533,嘉澤,0.89,1.08,-0.19,1.38,-0.49
6510,精測,0.86,0.99,-0.13,1.22,-0.36
6805,富世達,0.65,0.75,-0.1,0.0,0.65
8996,高力,0.63,0.71,-0.08,0.81,-0.18
6274,台燿,0.57,0.64,-0.07,0.79,-0.22
3217,優群,0.55,0.65,-0.1,0.39,0.16
3605,宏致,0.46,0.52,-0.06,0.56,-0.1
6223,旺矽,0.4,0.43,-0.03,0.53,-0.13
1210,大成,0.39,0.45,-0.06,0.59,-0.2
6143,振曜,0.37,0.43,-0.06,0.56,-0.19
2891,中信金,0.32,0.36,-0.04,0.45,-0.13
6472,保瑞,0.29,0.0,0.29,0.0,0.29
5347,世界,0.21,0.24,-0.03,0.3,-0.09
6139,亞翔,0.19,0.22,-0.03,0.28,-0.09
2618,長榮航,0.16,0.18,-0.02,0.23,-0.07
6757,台灣虎航,0.15,0.18,-0.03,0.22,-0.07
2886,兆豐金,0.05,0.06,-0.01,0.07,-0.02
3045,台灣大,0.04,0.05,-0.01,0.06,-0.02
6669,緯穎,0.03,0.04,-0.01,0.04,-0.01
3008,大立光,0.02,0.03,-0.01,0.03,-0.01
2327,國巨,0.01,0.01,0.0,0.01,0.0
1560,中砂,0.0,0.0,0.0,0.0,0.0
2439,美律,0.0,0.0,0.0,0.0,0.0
3515,華擎,0.0,0.0,0.0,0.0,0.0
6278,台表科,0.0,0.0,0.0,0.0,0.0
8069,元太,0.0,0.0,0.0,0.0,0.0
